BOX_NO;EVENT_NO;EVENT_YEAR;EVENT_MONTH;EVENT_NAME;NB_DIAPOS;SUB_RANGE;SUB_DEB;SUB_FIN;SUB_NAME
1;1;1962-64;;Service Militaire;36;1à36;1;36;prise de contact avec l'Algérie & vie en casernement
1;1;1962-64;0;Service Militaire;10;37à46;37;46;Arzew
1;1;1962-64;0;Service Militaire;5;83à87;83;87;retour vers la FRANCE
1;1;1962-64;0;Service Militaire;36;47à82;47;82;Sahara
1;2;1964;Juin;Paris;1;1;1;1;Saint-denis voiture
1;2;1964;Juin;Paris;3;2à4;2;4;Chats
1;2;1964;Juin;Paris;2;5à6;5;6;Albert
1;2;1964;Juin;Paris;1;8;1;1;Notre-Dame
1;2;1964;Juin;Paris;1;7;1;1;L'institut
1;2;1964;Juin;Paris;1;9;1;1;Le Louvre
1;2;1964;Juin;Paris;1;10;1;1;Le caroussel
1;2;1964;Juin;Paris;2;11à12;11;12;Muguet
1;2;1964;Juin;Paris;1;13;1;1;Le pont des Arts
1;3;1964;Juin;Divers;2;1à2;1;2;chantier de l'usine
1;3;1964;Juin;Divers;1;3;1;1;Pointe de Goury
1;3;1964;Juin;Divers;1;4;1;1;Cap de la Hague
1;3;1964;Juin;Divers;1;4bis;1;1;Les iles Anglo normandes
1;3;1964;Juin;Divers;1;5;1;1;Barneville
1;3;1964;Juin;Divers;2;6à7;6;7;Carteret
1;3;1964;Juin;Divers;1;8;1;1;Dielette
1;3;1964;Juin;Divers;1;9;1;1;Vauville
1;3;1964;Juin;Divers;1;10;1;1;Route bordée d'arbres
1;3;1964;Juin;Divers;1;11;1;1;Le Rozel
1;3;1964;Juin;Divers;1;12;1;1;Gatteville
1;3;1964;Juin;Divers;2;13à14;13;14;Fontaine de Vaucluse
1;3;1964;Juin;Divers;1;15;1;1;le Pont d'Avignon
1;4;1964;septembre;La Suisse Normande;5;1à5;1;5;Vues générales
1;4;1964;septembre;La Suisse Normande;3;6à8;6;8;Pique-nique
1;4;1964;septembre;La Suisse Normande;4;9à12;9;12;Annie
1;5;1964;décembre;Noël à Montpellier;8;1à8;1;8;noêl traitionnel
1;5;1964;décembre;Noël à Montpellier;1;9;1;1;sur la route vers GANGES
1;5;1964;décembre;Noël à Montpellier;1;10;1;1;le pic saint- loup
1;5;1964;décembre;Noël à Montpellier;3;11à13;11;13;l'Hérault
1;5;1964;décembre;Noël à Montpellier;2;14à15;14;15;En voiture
1;5;1964;décembre;Noël à Montpellier;5;16à20;16;20;Navacelles
1;5;1964;décembre;Noël à Montpellier;7;21à27;21;27;neige à Montpellier
1;5;1964;décembre;Noël à Montpellier;4;28à31;28;31;En Camargue
1;6;1965;Avril;Week-End à Saint-Malo;2;1à2;1;2;La pointe du Groin
1;6;1965;Avril;Week-End à Saint-Malo;1;3;1;1;La ville
1;6;1965;Avril;Week-End à Saint-Malo;1;4;1;1;Le grand Bé
1;6;1965;Avril;Week-End à Saint-Malo;2;5à6;5;6;La Rance
1;6;1965;Avril;Week-End à Saint-Malo;2;7à8;7;8;Dinard
1;6;1965;Avril;Week-End à Saint-Malo;2;9à10;9;10;Pique-nique
1;6;1965;Avril;Week-End à Saint-Malo;2;11à12;11;12;Annie
1;7;1965;avril;fiançailles Annie & Albert;6;1à6;1;6;(Paques) Repas à Montpellier
1;7;1965;avril;fiançailles Annie & Albert;2;7à8;7;8;Palavas
1;8;1965;avril;Divers;10;1à10;1;10;Place Divette
1;8;1965;avril;Divers;1;11;1;1;Landemer
1;8;1965;avril;Divers;1;18;1;1;Vauville
1;8;1965;avril;Divers;1;19;1;1;Jobourg
1;8;1965;avril;Divers;3;12à14;12;14;La côte nord de la hague
1;8;1965;avril;Divers;1;15;1;1;Annie
1;8;1965;avril;Divers;2;16à17;16;17;Omonville
1;9;1965;Juillet;Mariage Annie & Albert;1;1;1;1;Pique-nique sur l’autoroute près d’Anvers
1;9;1965;Juillet;Mariage Annie & Albert;18;2à19;2;19;mariage à montpellier
1;10;1965;août;Voyage de noce en Autriche;16;1à16;1;16;lasuisse pr le col de la sylvretta & la Bavière
